file,accuracy,method,cost,output_path
0,100.0,astar_center,3090.087642013525,../data/solutions/puzzle8x8\0.png
1,100.0,astar_center,1126.8678206718216,../data/solutions/puzzle8x8\1.png
10,93.75,astar_center,1835.3467207437438,../data/solutions/puzzle8x8\10.png
100,100.0,astar_center,1933.3200243229257,../data/solutions/puzzle8x8\100.png
101,100.0,astar_center,1673.8115041810127,../data/solutions/puzzle8x8\101.png
102,0.0,astar_center,1713.638611729868,../data/solutions/puzzle8x8\102.png
103,100.0,astar_center,2555.7898232273656,../data/solutions/puzzle8x8\103.png
104,100.0,astar_center,2397.492521924375,../data/solutions/puzzle8x8\104.png
105,3.125,astar_center,3034.612705045777,../data/solutions/puzzle8x8\105.png
106,100.0,astar_center,2765.9549540151265,../data/solutions/puzzle8x8\106.png
107,93.75,astar_center,2200.23318943837,../data/solutions/puzzle8x8\107.png
108,100.0,astar_center,1366.119575923329,../data/solutions/puzzle8x8\108.png
109,96.875,astar_center,2553.461297179905,../data/solutions/puzzle8x8\109.png
11,100.0,astar_center,2156.768882852497,../data/solutions/puzzle8x8\11.png
12,100.0,astar_center,1572.8902287748922,../data/solutions/puzzle8x8\12.png
13,93.75,astar_center,2104.6510848783896,../data/solutions/puzzle8x8\13.png
14,100.0,astar_center,2393.081993506115,../data/solutions/puzzle8x8\14.png
15,100.0,astar_center,2441.3918058699755,../data/solutions/puzzle8x8\15.png
16,89.0625,astar_center,2062.813153433809,../data/solutions/puzzle8x8\16.png
17,87.5,astar_center,1916.6194732431156,../data/solutions/puzzle8x8\17.png
18,0.0,astar_center,3235.658716572688,../data/solutions/puzzle8x8\18.png
19,0.0,astar_center,1634.5757631018796,../data/solutions/puzzle8x8\19.png
2,100.0,astar_center,1964.581431906874,../data/solutions/puzzle8x8\2.png
20,96.875,astar_center,2472.9874927300175,../data/solutions/puzzle8x8\20.png
21,90.625,astar_buddy,1047.6847030013344,../data/solutions/puzzle8x8\21.png
22,0.0,astar_center,1918.1654522879605,../data/solutions/puzzle8x8\22.png
23,93.75,astar_center,2312.3998895373416,../data/solutions/puzzle8x8\23.png
24,100.0,astar_buddy,1394.0554875684138,../data/solutions/puzzle8x8\24.png
25,0.0,astar_center,854.1769028151122,../data/solutions/puzzle8x8\25.png
26,100.0,astar_buddy,1610.7094525769617,../data/solutions/puzzle8x8\26.png
27,100.0,astar_center,1401.994956088316,../data/solutions/puzzle8x8\27.png
28,100.0,astar_center,1956.3645622782906,../data/solutions/puzzle8x8\28.png
29,100.0,astar_center,2020.9214529587039,../data/solutions/puzzle8x8\29.png
3,100.0,astar_center,1323.1194812388428,../data/solutions/puzzle8x8\3.png
30,50.0,astar_center,2582.6752030646985,../data/solutions/puzzle8x8\30.png
31,0.0,astar_center,1015.709387394437,../data/solutions/puzzle8x8\31.png
32,1.5625,astar_center,951.3085460218302,../data/solutions/puzzle8x8\32.png
33,3.125,astar_center,2444.632742105509,../data/solutions/puzzle8x8\33.png
34,1.5625,astar_center,1981.2403913025657,../data/solutions/puzzle8x8\34.png
35,89.0625,astar_center,2770.5732070094123,../data/solutions/puzzle8x8\35.png
36,93.75,astar_center,1290.3512583378797,../data/solutions/puzzle8x8\36.png
37,96.875,astar_center,3204.560930104345,../data/solutions/puzzle8x8\37.png
38,3.125,astar_center,1418.0047429503798,../data/solutions/puzzle8x8\38.png
39,100.0,astar_center,1840.7261681318646,../data/solutions/puzzle8x8\39.png
4,90.625,astar_center,1821.2981017614693,../data/solutions/puzzle8x8\4.png
40,0.0,astar_center,2223.90568216326,../data/solutions/puzzle8x8\40.png
41,0.0,astar_center,1641.443521263766,../data/solutions/puzzle8x8\41.png
42,95.3125,astar_center,2028.4396587374972,../data/solutions/puzzle8x8\42.png
43,20.3125,astar_center,2557.1611016896723,../data/solutions/puzzle8x8\43.png
44,0.0,astar_center,2208.9324542857457,../data/solutions/puzzle8x8\44.png
45,89.0625,astar_center,2286.287388276508,../data/solutions/puzzle8x8\45.png
