file,accuracy,method,cost,output_path
78,25.0,buddy,386.354657344482,../data/solutions/puzzle4x4\78.png
79,100.0,buddy,392.7827409250746,../data/solutions/puzzle4x4\79.png
8,100.0,buddy,528.3536672614773,../data/solutions/puzzle4x4\8.png
80,18.75,buddy,698.0966305131614,../data/solutions/puzzle4x4\80.png
81,100.0,buddy,469.90608677094815,../data/solutions/puzzle4x4\81.png
82,100.0,buddy,241.57128452938667,../data/solutions/puzzle4x4\82.png
83,18.75,buddy,614.286692018403,../data/solutions/puzzle4x4\83.png
84,18.75,buddy,373.87504260636626,../data/solutions/puzzle4x4\84.png
85,6.25,greedy,607.6803317481176,../data/solutions/puzzle4x4\85.png
86,100.0,greedy,455.3688775592108,../data/solutions/puzzle4x4\86.png
87,100.0,buddy,501.06557352905804,../data/solutions/puzzle4x4\87.png
88,100.0,buddy,473.97169098952617,../data/solutions/puzzle4x4\88.png
89,100.0,buddy,184.7467570240308,../data/solutions/puzzle4x4\89.png
9,100.0,buddy,455.32655651993093,../data/solutions/puzzle4x4\9.png
90,100.0,buddy,486.49907713846017,../data/solutions/puzzle4x4\90.png
91,100.0,buddy,482.220068021041,../data/solutions/puzzle4x4\91.png
92,100.0,buddy,225.65717523181638,../data/solutions/puzzle4x4\92.png
93,0.0,buddy,750.8208009949047,../data/solutions/puzzle4x4\93.png
94,0.0,buddy,348.2370203571821,../data/solutions/puzzle4x4\94.png
95,100.0,buddy,264.641910600149,../data/solutions/puzzle4x4\95.png
96,100.0,buddy,545.1777925764557,../data/solutions/puzzle4x4\96.png
97,0.0,greedy,358.4622674266743,../data/solutions/puzzle4x4\97.png
98,12.5,buddy,578.5669411370179,../data/solutions/puzzle4x4\98.png
99,100.0,buddy,394.6807114143872,../data/solutions/puzzle4x4\99.png
