file,accuracy,method,cost,output_path
0,100.0,unknown,138.20849172017506,../data/solutions/puzzle2x2\0.png
1,100.0,unknown,45.603683190079714,../data/solutions/puzzle2x2\1.png
10,100.0,unknown,54.65005366813268,../data/solutions/puzzle2x2\10.png
100,100.0,unknown,72.77524039658834,../data/solutions/puzzle2x2\100.png
101,100.0,unknown,76.21731249194237,../data/solutions/puzzle2x2\101.png
102,100.0,unknown,54.663635541836186,../data/solutions/puzzle2x2\102.png
103,100.0,unknown,101.71975011000436,../data/solutions/puzzle2x2\103.png
104,100.0,unknown,107.3953302944442,../data/solutions/puzzle2x2\104.png
105,100.0,unknown,57.20779287795947,../data/solutions/puzzle2x2\105.png
106,100.0,unknown,128.4380699534874,../data/solutions/puzzle2x2\106.png
107,100.0,unknown,73.67821532276865,../data/solutions/puzzle2x2\107.png
108,100.0,unknown,53.07057843788458,../data/solutions/puzzle2x2\108.png
109,100.0,unknown,77.06980214227364,../data/solutions/puzzle2x2\109.png
11,100.0,unknown,79.7127486186258,../data/solutions/puzzle2x2\11.png
12,100.0,unknown,43.716312536648225,../data/solutions/puzzle2x2\12.png
13,100.0,unknown,64.633948405993,../data/solutions/puzzle2x2\13.png
14,100.0,unknown,89.61639500451378,../data/solutions/puzzle2x2\14.png
15,100.0,unknown,72.38258149202616,../data/solutions/puzzle2x2\15.png
16,100.0,unknown,50.646894667339325,../data/solutions/puzzle2x2\16.png
17,100.0,unknown,66.87823153676155,../data/solutions/puzzle2x2\17.png
18,100.0,unknown,89.52648742320213,../data/solutions/puzzle2x2\18.png
19,100.0,unknown,69.64949879865722,../data/solutions/puzzle2x2\19.png
2,100.0,unknown,64.34618723218685,../data/solutions/puzzle2x2\2.png
20,100.0,unknown,84.79460375015886,../data/solutions/puzzle2x2\20.png
21,100.0,unknown,38.136856028815274,../data/solutions/puzzle2x2\21.png
22,100.0,unknown,41.87087938601471,../data/solutions/puzzle2x2\22.png
23,100.0,unknown,54.42949244021739,../data/solutions/puzzle2x2\23.png
24,100.0,unknown,46.20044574473047,../data/solutions/puzzle2x2\24.png
25,100.0,unknown,61.98606833923195,../data/solutions/puzzle2x2\25.png
26,100.0,unknown,57.74418410364747,../data/solutions/puzzle2x2\26.png
27,100.0,unknown,49.28396941934287,../data/solutions/puzzle2x2\27.png
28,100.0,unknown,91.83986713722624,../data/solutions/puzzle2x2\28.png
29,0.0,unknown,116.53952472454435,../data/solutions/puzzle2x2\29.png
3,100.0,unknown,31.94392070090208,../data/solutions/puzzle2x2\3.png
30,0.0,unknown,13.350696213768007,../data/solutions/puzzle2x2\30.png
31,100.0,unknown,37.82313717062784,../data/solutions/puzzle2x2\31.png
32,100.0,unknown,52.65062457398794,../data/solutions/puzzle2x2\32.png
33,100.0,unknown,81.25614754058685,../data/solutions/puzzle2x2\33.png
34,100.0,unknown,116.27433706548241,../data/solutions/puzzle2x2\34.png
35,100.0,unknown,71.80862936034518,../data/solutions/puzzle2x2\35.png
36,100.0,unknown,59.22064930547777,../data/solutions/puzzle2x2\36.png
37,100.0,unknown,105.45020055353285,../data/solutions/puzzle2x2\37.png
38,100.0,unknown,33.72523086676883,../data/solutions/puzzle2x2\38.png
39,100.0,unknown,52.81328100302803,../data/solutions/puzzle2x2\39.png
4,100.0,unknown,58.56420627393736,../data/solutions/puzzle2x2\4.png
40,100.0,unknown,70.89360826409958,../data/solutions/puzzle2x2\40.png
41,100.0,unknown,61.66422104580131,../data/solutions/puzzle2x2\41.png
42,100.0,unknown,79.58006144634128,../data/solutions/puzzle2x2\42.png
43,100.0,unknown,58.47321530072394,../data/solutions/puzzle2x2\43.png
44,0.0,unknown,63.842445172376614,../data/solutions/puzzle2x2\44.png
45,100.0,unknown,82.67985095968446,../data/solutions/puzzle2x2\45.png
46,100.0,unknown,92.67563494970435,../data/solutions/puzzle2x2\46.png
47,100.0,unknown,64.21612838913262,../data/solutions/puzzle2x2\47.png
48,100.0,unknown,64.8282322622317,../data/solutions/puzzle2x2\48.png
49,100.0,unknown,65.95977368155886,../data/solutions/puzzle2x2\49.png
5,100.0,unknown,81.83303375580918,../data/solutions/puzzle2x2\5.png
50,100.0,unknown,37.566049125816136,../data/solutions/puzzle2x2\50.png
51,100.0,unknown,95.37188689579392,../data/solutions/puzzle2x2\51.png
52,100.0,unknown,75.04305329755148,../data/solutions/puzzle2x2\52.png
53,100.0,unknown,47.70623454600265,../data/solutions/puzzle2x2\53.png
54,100.0,unknown,43.16889671157094,../data/solutions/puzzle2x2\54.png
55,100.0,unknown,46.523481094644616,../data/solutions/puzzle2x2\55.png
56,100.0,unknown,41.88166081502523,../data/solutions/puzzle2x2\56.png
57,100.0,unknown,93.90376598230966,../data/solutions/puzzle2x2\57.png
58,100.0,unknown,107.24959560533983,../data/solutions/puzzle2x2\58.png
59,100.0,unknown,54.79659889531912,../data/solutions/puzzle2x2\59.png
6,100.0,unknown,65.99981149011128,../data/solutions/puzzle2x2\6.png
60,100.0,unknown,89.9182925727849,../data/solutions/puzzle2x2\60.png
61,100.0,unknown,62.83342802618283,../data/solutions/puzzle2x2\61.png
62,100.0,unknown,51.66705075134849,../data/solutions/puzzle2x2\62.png
63,100.0,unknown,86.02899312004735,../data/solutions/puzzle2x2\63.png
64,100.0,unknown,31.942025109619582,../data/solutions/puzzle2x2\64.png
65,100.0,unknown,31.221408383476884,../data/solutions/puzzle2x2\65.png
66,100.0,unknown,34.837192462296215,../data/solutions/puzzle2x2\66.png
67,100.0,unknown,55.913747426227744,../data/solutions/puzzle2x2\67.png
68,100.0,unknown,52.71343773936558,../data/solutions/puzzle2x2\68.png
69,100.0,unknown,69.99821045870385,../data/solutions/puzzle2x2\69.png
7,100.0,unknown,57.20994787706986,../data/solutions/puzzle2x2\7.png
70,100.0,unknown,42.88833874502143,../data/solutions/puzzle2x2\70.png
71,100.0,unknown,47.363964004390525,../data/solutions/puzzle2x2\71.png
72,100.0,unknown,69.455429999134,../data/solutions/puzzle2x2\72.png
73,100.0,unknown,77.68325509905492,../data/solutions/puzzle2x2\73.png
74,100.0,unknown,50.081890435415865,../data/solutions/puzzle2x2\74.png
75,100.0,unknown,23.07659654781239,../data/solutions/puzzle2x2\75.png
76,100.0,unknown,63.613966308175065,../data/solutions/puzzle2x2\76.png
77,100.0,unknown,41.49465347297194,../data/solutions/puzzle2x2\77.png
78,100.0,unknown,58.18008406749072,../data/solutions/puzzle2x2\78.png
79,100.0,unknown,65.68340847918826,../data/solutions/puzzle2x2\79.png
8,100.0,unknown,91.34466206327279,../data/solutions/puzzle2x2\8.png
80,100.0,unknown,86.78725562164607,../data/solutions/puzzle2x2\80.png
81,100.0,unknown,83.89458012129668,../data/solutions/puzzle2x2\81.png
82,100.0,unknown,39.49227739092166,../data/solutions/puzzle2x2\82.png
83,100.0,unknown,142.84076884605577,../data/solutions/puzzle2x2\83.png
84,100.0,unknown,68.65653740880495,../data/solutions/puzzle2x2\84.png
85,100.0,unknown,35.066342794979846,../data/solutions/puzzle2x2\85.png
86,100.0,unknown,68.36279747557543,../data/solutions/puzzle2x2\86.png
87,100.0,unknown,60.89096288965186,../data/solutions/puzzle2x2\87.png
88,100.0,unknown,84.50144619124048,../data/solutions/puzzle2x2\88.png
89,100.0,unknown,42.51079004100985,../data/solutions/puzzle2x2\89.png
9,100.0,unknown,81.42320603512077,../data/solutions/puzzle2x2\9.png
90,100.0,unknown,86.67886634543282,../data/solutions/puzzle2x2\90.png
91,100.0,unknown,77.84943580420216,../data/solutions/puzzle2x2\91.png
92,100.0,unknown,48.48562692311184,../data/solutions/puzzle2x2\92.png
93,100.0,unknown,72.92239663300175,../data/solutions/puzzle2x2\93.png
94,100.0,unknown,125.09479974322844,../data/solutions/puzzle2x2\94.png
95,100.0,unknown,59.57848413198776,../data/solutions/puzzle2x2\95.png
96,100.0,unknown,82.87948283636277,../data/solutions/puzzle2x2\96.png
97,0.0,unknown,55.219787235390754,../data/solutions/puzzle2x2\97.png
98,100.0,unknown,70.17387131244811,../data/solutions/puzzle2x2\98.png
99,100.0,unknown,78.99124814986895,../data/solutions/puzzle2x2\99.png
